idd_pol_policy,idd_cus_customer,idd_prd_product,d_cov_start,d_cov_end,amt_written_premium,cov_days_total,cov_days_elapsed,amt_earned_premium
P-2023-000688,100381,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-05-22,2023-11-29,494.52,192.0,192,494.52
P-2023-000730,100872,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-02-03,2024-06-19,944.98,503.0,503,944.98
P-2023-000754,100099,eb1f8989a62d585d97875883da198e51,2023-10-23,2024-11-21,38.37,396.0,396,38.37
P-2023-000773,100011,ee203b1703de1595784024279eff985b,2023-03-03,2024-05-12,248.27,437.0,437,248.27
P-2023-000777,100658,ee203b1703de1595784024279eff985b,2023-04-07,2024-03-15,201.21,344.0,344,201.21
P-2023-000805,100767,ee203b1703de1595784024279eff985b,2023-03-02,2023-12-14,209.11,288.0,288,209.11
P-2023-000829,100484,19bd7beafce7eb141e672aec8fe7d7c3,2023-08-19,2024-09-11,160.48,390.0,390,160.48
P-2023-000858,100812,ee203b1703de1595784024279eff985b,2023-11-20,2025-02-15,244.99,454.0,454,244.99
P-2023-000878,100708,eb1f8989a62d585d97875883da198e51,2023-07-02,2024-06-25,46.12,360.0,360,46.12
P-2023-000942,100252,3c66679311c1abec9d9192d01ce26f07,2023-09-20,2024-05-30,207.16,254.0,254,207.16
P-2023-001005,100736,3c66679311c1abec9d9192d01ce26f07,2023-09-23,2024-12-30,418.56,465.0,465,418.56
P-2023-001006,100591,19bd7beafce7eb141e672aec8fe7d7c3,2023-06-27,2024-08-13,162.73,414.0,414,162.73
P-2023-001013,100998,3ef69f90a5178021fa2875bdb7700d8e,2023-03-05,2024-03-16,96.17,378.0,378,96.17
P-2023-001073,100848,a2a38920c9919e09c8703d8892080502,2023-10-20,2025-01-31,55.43,470.0,470,55.43
P-2023-001111,100525,7f89c4cd954b7f708ce420be328cebb4,2023-09-12,2024-08-01,109.17,325.0,325,109.17
P-2023-001122,100257,eb1f8989a62d585d97875883da198e51,2023-10-06,2024-09-12,67.41,343.0,343,67.41
P-2023-001127,100102,3c66679311c1abec9d9192d01ce26f07,2023-09-10,2024-10-24,231.67,411.0,411,231.67
P-2023-001143,100575,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-02-14,2024-01-17,229.36,338.0,338,229.36
P-2023-001144,100843,dcfcf92bb54103cb27c8801b1960989c,2023-08-10,2024-11-07,159.2,456.0,456,159.2
P-2023-001148,100144,dcfcf92bb54103cb27c8801b1960989c,2023-02-20,2024-01-31,372.23,346.0,346,372.23
P-2023-001224,100607,eb1f8989a62d585d97875883da198e51,2023-08-18,2024-05-27,122.12,284.0,284,122.12
P-2023-001237,100944,3c66679311c1abec9d9192d01ce26f07,2023-08-07,2024-07-24,358.79,353.0,353,358.79
P-2023-001262,100252,19bd7beafce7eb141e672aec8fe7d7c3,2023-09-03,2024-07-01,93.9,303.0,303,93.9
P-2023-001303,100415,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-10-08,2024-12-31,275.95,451.0,451,275.95
P-2023-001422,100674,3ef69f90a5178021fa2875bdb7700d8e,2023-09-01,2024-06-08,81.32,282.0,282,81.32
P-2023-001481,100836,3c66679311c1abec9d9192d01ce26f07,2023-07-11,2024-05-22,712.24,317.0,317,712.24
P-2023-001484,100293,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-01-15,2023-12-22,651.68,342.0,342,651.68
P-2023-001673,100479,7f89c4cd954b7f708ce420be328cebb4,2023-08-31,2024-08-12,82.46,348.0,348,82.46
P-2023-001690,100175,a2a38920c9919e09c8703d8892080502,2023-09-08,2024-06-28,82.73,295.0,295,82.73
P-2023-001773,100071,7f89c4cd954b7f708ce420be328cebb4,2023-07-14,2024-04-02,54.25,264.0,264,54.25
P-2023-001831,100985,3c66679311c1abec9d9192d01ce26f07,2023-12-04,2024-09-02,233.87,274.0,274,233.87
P-2023-001873,100961,eb1f8989a62d585d97875883da198e51,2023-06-23,2024-09-04,57.01,440.0,440,57.01
P-2023-001896,100902,19bd7beafce7eb141e672aec8fe7d7c3,2023-11-23,2024-10-16,70.44,329.0,329,70.44
P-2023-001950,100922,eb1f8989a62d585d97875883da198e51,2023-08-12,2024-10-02,60.26,418.0,418,60.26
P-2023-002004,100349,19bd7beafce7eb141e672aec8fe7d7c3,2023-06-13,2024-10-09,156.87,485.0,485,156.87
P-2023-002064,100070,19bd7beafce7eb141e672aec8fe7d7c3,2023-02-13,2024-07-22,374.22,526.0,526,374.22
P-2023-002115,100486,3c66679311c1abec9d9192d01ce26f07,2023-05-28,2024-05-28,169.62,367.0,367,169.62
P-2023-002176,100913,ee203b1703de1595784024279eff985b,2023-08-18,2024-12-06,161.5,477.0,477,161.5
P-2023-002253,100133,7f89c4cd954b7f708ce420be328cebb4,2023-07-26,2024-07-03,102.11,344.0,344,102.11
P-2023-002344,100226,ee203b1703de1595784024279eff985b,2023-11-30,2025-04-23,194.28,511.0,511,194.28
P-2023-002450,100324,19bd7beafce7eb141e672aec8fe7d7c3,2023-11-19,2024-07-11,539.67,236.0,236,539.67
P-2023-002485,100984,dcfcf92bb54103cb27c8801b1960989c,2023-12-27,2024-11-27,784.81,337.0,337,784.81
P-2023-002503,100930,3c66679311c1abec9d9192d01ce26f07,2023-02-22,2024-03-16,456.76,389.0,389,456.76
P-2023-002507,100981,3ef69f90a5178021fa2875bdb7700d8e,2023-03-01,2024-02-24,78.8,361.0,361,78.8
P-2023-002571,100308,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-10-20,2024-09-21,1064.78,338.0,338,1064.78
P-2023-002640,100901,ee203b1703de1595784024279eff985b,2023-02-05,2023-11-29,173.78,298.0,298,173.78
P-2023-002671,100041,a2a38920c9919e09c8703d8892080502,2023-01-19,2024-05-22,26.71,490.0,490,26.71
P-2023-002675,100180,7f89c4cd954b7f708ce420be328cebb4,2023-09-20,2024-09-23,94.82,370.0,370,94.82
P-2023-002709,100008,ee203b1703de1595784024279eff985b,2023-08-29,2024-09-12,225.18,381.0,381,225.18
P-2023-002755,100173,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-08-26,2024-09-07,813.5,379.0,379,813.5
P-2023-002767,100606,ee203b1703de1595784024279eff985b,2023-09-11,2024-08-07,492.44,332.0,332,492.44
P-2023-002895,100268,eb1f8989a62d585d97875883da198e51,2023-08-18,2023-12-23,38.5,128.0,128,38.5
P-2023-002900,100003,ee203b1703de1595784024279eff985b,2023-08-13,2024-07-13,111.61,336.0,336,111.61
P-2023-002917,100631,7f89c4cd954b7f708ce420be328cebb4,2023-02-12,2023-10-09,57.21,240.0,240,57.21
P-2023-002924,100702,eb1f8989a62d585d97875883da198e51,2023-06-17,2024-01-19,125.29,217.0,217,125.29
P-2023-002957,100804,3c66679311c1abec9d9192d01ce26f07,2023-07-20,2024-06-07,310.62,324.0,324,310.62
P-2024-000113,100799,7f89c4cd954b7f708ce420be328cebb4,2024-09-27,2026-03-03,61.23,523.0,339,39.69
P-2024-000172,100841,ee203b1703de1595784024279eff985b,2024-03-07,2025-08-01,213.21,513.0,513,213.21
P-2024-000280,100325,7f89c4cd954b7f708ce420be328cebb4,2024-03-13,2025-01-17,101.67,311.0,311,101.67
P-2024-000324,100396,eb1f8989a62d585d97875883da198e51,2024-12-22,2025-09-26,30.54,279.0,253,27.69
P-2024-000396,100385,eb1f8989a62d585d97875883da198e51,2024-02-21,2024-12-16,83.66,300.0,300,83.66
P-2024-000437,100951,eb1f8989a62d585d97875883da198e51,2024-12-04,2026-02-20,96.51,444.0,271,58.91
P-2024-000452,100475,7f89c4cd954b7f708ce420be328cebb4,2024-04-30,2025-05-04,36.78,370.0,370,36.78
P-2024-000471,100007,3ef69f90a5178021fa2875bdb7700d8e,2024-08-22,2025-08-26,92.81,370.0,370,92.81
P-2024-000486,100353,3c66679311c1abec9d9192d01ce26f07,2024-04-13,2025-04-26,461.99,379.0,379,461.99
P-2024-000501,100395,7f89c4cd954b7f708ce420be328cebb4,2024-07-08,2025-09-12,126.51,432.0,420,123.0
P-2024-000516,100837,3ef69f90a5178021fa2875bdb7700d8e,2024-03-28,2025-03-30,137.31,368.0,368,137.31
P-2024-000574,100978,ee203b1703de1595784024279eff985b,2024-08-20,2025-10-21,205.5,428.0,377,181.01
P-2024-000623,100222,a2a38920c9919e09c8703d8892080502,2024-09-10,2025-11-18,47.92,435.0,356,39.22
P-2024-000681,100573,ee203b1703de1595784024279eff985b,2024-01-29,2025-03-16,132.87,413.0,413,132.87
P-2024-000729,100630,a2a38920c9919e09c8703d8892080502,2024-04-11,2025-12-20,9.91,619.0,508,8.13
P-2024-000776,100456,eb1f8989a62d585d97875883da198e51,2024-04-14,2024-12-16,88.32,247.0,247,88.32
P-2024-000786,100380,ee203b1703de1595784024279eff985b,2024-10-30,2025-10-20,152.9,356.0,306,131.43
P-2024-000841,100085,7f89c4cd954b7f708ce420be328cebb4,2024-10-25,2026-04-25,89.66,548.0,311,50.88
P-2024-000940,100007,eb1f8989a62d585d97875883da198e51,2024-03-25,2025-02-21,51.9,334.0,334,51.9
P-2024-000955,100398,7f89c4cd954b7f708ce420be328cebb4,2024-04-13,2025-01-03,116.56,266.0,266,116.56
P-2024-000960,100619,3c66679311c1abec9d9192d01ce26f07,2024-11-01,2026-01-20,164.54,446.0,304,112.15
P-2024-001032,100707,7f89c4cd954b7f708ce420be328cebb4,2024-10-12,2025-12-06,109.78,421.0,324,84.49
P-2024-001128,100253,19bd7beafce7eb141e672aec8fe7d7c3,2024-05-11,2025-02-07,388.0,273.0,273,388.0
P-2024-001130,100039,eb1f8989a62d585d97875883da198e51,2024-10-13,2025-07-28,42.31,289.0,289,42.31
P-2024-001136,100124,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-08-02,2025-08-15,1108.87,379.0,379,1108.87
P-2024-001177,100940,ee203b1703de1595784024279eff985b,2024-09-13,2025-11-08,375.76,422.0,353,314.32
P-2024-001188,100041,19bd7beafce7eb141e672aec8fe7d7c3,2024-10-30,2025-10-06,217.48,342.0,306,194.59
P-2024-001198,100578,19bd7beafce7eb141e672aec8fe7d7c3,2024-07-23,2025-10-22,262.37,457.0,405,232.52
P-2024-001213,100127,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-02-16,2025-03-16,1120.15,395.0,395,1120.15
P-2024-001228,100975,ee203b1703de1595784024279eff985b,2024-09-22,2025-07-15,244.36,297.0,297,244.36
P-2024-001254,100024,7f89c4cd954b7f708ce420be328cebb4,2024-09-23,2025-07-19,130.53,300.0,300,130.53
P-2024-001261,100167,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-05-02,2025-03-18,273.29,321.0,321,273.29
P-2024-001263,100592,ee203b1703de1595784024279eff985b,2024-09-29,2025-08-03,441.7,309.0,309,441.7
P-2024-001265,100583,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-03-13,2025-05-28,278.32,442.0,442,278.32
P-2024-001329,100708,dcfcf92bb54103cb27c8801b1960989c,2024-04-11,2025-02-19,310.82,315.0,315,310.82
P-2024-001384,100046,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-10-07,2026-01-18,458.1,469.0,329,321.35
P-2024-001404,100793,ee203b1703de1595784024279eff985b,2024-01-10,2025-03-18,158.4,434.0,434,158.4
P-2024-001463,100512,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-09-23,2025-10-26,1071.3,399.0,343,920.94
P-2024-001483,100290,19bd7beafce7eb141e672aec8fe7d7c3,2024-12-19,2026-04-02,152.18,470.0,256,82.89
P-2024-001512,100309,dcfcf92bb54103cb27c8801b1960989c,2024-11-17,2025-06-12,307.68,208.0,208,307.68
P-2024-001550,100831,ee203b1703de1595784024279eff985b,2024-08-04,2025-08-03,254.93,365.0,365,254.93
P-2024-001553,100523,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-01-19,2025-09-13,1009.85,604.0,591,988.11
P-2024-001613,100147,dcfcf92bb54103cb27c8801b1960989c,2024-09-03,2026-02-24,419.05,540.0,363,281.69
P-2024-001616,100747,3ef69f90a5178021fa2875bdb7700d8e,2024-07-26,2025-06-19,87.84,329.0,329,87.84
P-2024-001630,100677,ee203b1703de1595784024279eff985b,2024-11-17,2025-08-11,233.38,268.0,268,233.38
P-2024-001653,100033,ee203b1703de1595784024279eff985b,2024-04-24,2025-07-19,262.29,452.0,452,262.29
P-2024-001661,100872,dcfcf92bb54103cb27c8801b1960989c,2024-01-21,2024-12-31,854.02,346.0,346,854.02
P-2024-001704,100143,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-09-27,2025-07-01,635.52,278.0,278,635.52
P-2024-001834,100943,ee203b1703de1595784024279eff985b,2024-05-25,2025-07-09,163.62,411.0,411,163.62
P-2024-001868,100388,eb1f8989a62d585d97875883da198e51,2024-01-19,2025-02-10,46.41,389.0,389,46.41
P-2024-001994,100957,dcfcf92bb54103cb27c8801b1960989c,2024-03-11,2024-11-22,773.97,257.0,257,773.97
P-2024-002037,100030,7f89c4cd954b7f708ce420be328cebb4,2024-06-30,2025-05-07,93.58,312.0,312,93.58
P-2024-002084,100896,dcfcf92bb54103cb27c8801b1960989c,2024-05-23,2025-05-16,228.97,359.0,359,228.97
P-2024-002087,100198,eb1f8989a62d585d97875883da198e51,2024-12-26,2025-11-03,185.72,313.0,249,147.75
P-2024-002146,100048,19bd7beafce7eb141e672aec8fe7d7c3,2024-07-04,2025-09-21,380.91,445.0,424,362.93
P-2024-002164,100836,3c66679311c1abec9d9192d01ce26f07,2024-10-26,2025-08-05,366.45,284.0,284,366.45
P-2024-002178,100739,19bd7beafce7eb141e672aec8fe7d7c3,2024-10-31,2025-09-30,169.1,335.0,305,153.96
P-2024-002195,100064,dcfcf92bb54103cb27c8801b1960989c,2024-11-02,2025-08-07,394.24,279.0,279,394.24
P-2024-002206,100570,eb1f8989a62d585d97875883da198e51,2024-07-04,2025-08-07,40.03,400.0,400,40.03
P-2024-002231,100043,7f89c4cd954b7f708ce420be328cebb4,2024-03-03,2025-04-13,153.81,407.0,407,153.81
P-2024-002241,100296,eb1f8989a62d585d97875883da198e51,2024-12-14,2026-05-21,47.9,524.0,261,23.86
P-2024-002295,100213,2faf36b0c9f62ee6b234e8e2630d7d3a,2024-07-08,2025-03-29,521.7,265.0,265,521.7
P-2024-002309,100258,3ef69f90a5178021fa2875bdb7700d8e,2024-04-19,2025-05-13,108.39,390.0,390,108.39
P-2024-002408,100229,eb1f8989a62d585d97875883da198e51,2024-04-03,2025-02-01,20.53,305.0,305,20.53
P-2024-002437,100201,dcfcf92bb54103cb27c8801b1960989c,2024-08-30,2025-09-29,548.26,396.0,367,508.11
P-2024-002445,100007,7f89c4cd954b7f708ce420be328cebb4,2024-08-02,2025-02-06,74.07,189.0,189,74.07
P-2024-002466,100754,eb1f8989a62d585d97875883da198e51,2024-07-31,2026-01-26,75.01,545.0,397,54.64
P-2024-002497,100498,3c66679311c1abec9d9192d01ce26f07,2024-12-25,2026-08-01,513.49,585.0,250,219.44
P-2024-002501,100151,dcfcf92bb54103cb27c8801b1960989c,2024-04-27,2025-04-05,416.58,344.0,344,416.58
P-2024-002541,100983,ee203b1703de1595784024279eff985b,2024-05-15,2025-08-25,89.1,468.0,468,89.1
P-2024-002552,100079,ee203b1703de1595784024279eff985b,2024-04-11,2025-04-09,374.11,364.0,364,374.11
P-2024-002607,100160,3ef69f90a5178021fa2875bdb7700d8e,2024-11-09,2026-04-13,54.79,521.0,296,31.13
P-2024-002631,100493,a2a38920c9919e09c8703d8892080502,2024-10-11,2025-10-14,47.93,369.0,325,42.21
P-2024-002632,100087,eb1f8989a62d585d97875883da198e51,2024-07-18,2025-08-03,98.1,382.0,382,98.1
P-2024-002657,100303,19bd7beafce7eb141e672aec8fe7d7c3,2024-02-12,2025-03-14,401.93,397.0,397,401.93
P-2024-002695,100680,ee203b1703de1595784024279eff985b,2024-10-29,2025-08-07,103.87,283.0,283,103.87
P-2024-002747,100548,dcfcf92bb54103cb27c8801b1960989c,2024-10-31,2025-09-06,298.98,311.0,305,293.21
P-2024-002760,100745,dcfcf92bb54103cb27c8801b1960989c,2024-04-15,2025-01-17,417.49,278.0,278,417.49
P-2024-002826,100232,a2a38920c9919e09c8703d8892080502,2024-04-11,2025-09-01,45.13,509.0,508,45.04
P-2024-002843,100869,ee203b1703de1595784024279eff985b,2024-01-10,2024-10-15,170.69,280.0,280,170.69
P-2024-002853,100705,ee203b1703de1595784024279eff985b,2024-09-03,2025-09-23,220.25,386.0,363,207.13
P-2024-002859,100956,eb1f8989a62d585d97875883da198e51,2024-07-01,2025-08-04,179.08,400.0,400,179.08
P-2024-002973,100492,3c66679311c1abec9d9192d01ce26f07,2024-08-13,2025-12-05,639.49,480.0,384,511.59
P-2025-000128,100536,eb1f8989a62d585d97875883da198e51,2025-03-10,2025-11-04,80.72,240.0,175,58.86
P-2025-000241,100465,a2a38920c9919e09c8703d8892080502,2025-01-02,2026-01-31,13.3,395.0,242,8.15
P-2025-000385,100505,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-03-23,2026-05-07,1048.36,411.0,162,413.22
P-2025-000438,100085,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-03-06,2026-05-18,587.96,439.0,179,239.74
P-2025-000463,100712,3c66679311c1abec9d9192d01ce26f07,2025-03-27,2026-02-03,1024.35,314.0,158,515.44
P-2025-000464,100235,dcfcf92bb54103cb27c8801b1960989c,2025-02-23,2025-11-01,561.73,252.0,190,423.53
P-2025-000468,100086,ee203b1703de1595784024279eff985b,2025-05-22,2026-07-08,171.12,413.0,102,42.26
P-2025-000551,100124,ee203b1703de1595784024279eff985b,2025-04-05,2025-12-05,155.05,245.0,149,94.3
P-2025-000604,100543,ee203b1703de1595784024279eff985b,2025-02-01,2026-04-01,111.84,425.0,212,55.79
P-2025-000770,100038,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-02-28,2026-05-28,285.88,455.0,185,116.24
P-2025-000828,100756,ee203b1703de1595784024279eff985b,2025-05-16,2026-03-24,201.09,313.0,108,69.39
P-2025-000840,100430,19bd7beafce7eb141e672aec8fe7d7c3,2025-04-01,2026-03-30,266.4,364.0,153,111.98
P-2025-000844,100824,ee203b1703de1595784024279eff985b,2025-03-18,2026-01-07,122.51,296.0,167,69.12
P-2025-000996,100390,ee203b1703de1595784024279eff985b,2025-01-29,2025-11-26,171.48,302.0,215,122.08
P-2025-001021,100849,3ef69f90a5178021fa2875bdb7700d8e,2025-05-16,2026-03-05,58.78,294.0,108,21.59
P-2025-001078,100042,eb1f8989a62d585d97875883da198e51,2025-04-21,2026-05-07,39.96,382.0,133,13.91
P-2025-001081,100578,19bd7beafce7eb141e672aec8fe7d7c3,2025-03-18,2026-04-03,228.12,382.0,167,99.73
P-2025-001085,100347,a2a38920c9919e09c8703d8892080502,2025-01-22,2025-11-06,21.63,289.0,222,16.62
P-2025-001155,100735,ee203b1703de1595784024279eff985b,2025-02-23,2026-02-04,111.27,347.0,190,60.93
P-2025-001186,100123,7f89c4cd954b7f708ce420be328cebb4,2025-02-23,2026-05-06,82.84,438.0,190,35.94
P-2025-001194,100524,ee203b1703de1595784024279eff985b,2025-01-09,2026-02-17,217.14,405.0,235,125.99
P-2025-001325,100597,19bd7beafce7eb141e672aec8fe7d7c3,2025-03-08,2026-01-29,258.87,328.0,177,139.7
P-2025-001375,100568,ee203b1703de1595784024279eff985b,2025-01-25,2025-10-27,486.44,276.0,219,385.98
P-2025-001493,100465,ee203b1703de1595784024279eff985b,2025-03-23,2026-04-13,164.89,387.0,162,69.02
P-2025-001655,100502,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-02-13,2026-11-24,889.25,650.0,200,273.62
P-2025-001662,100782,ee203b1703de1595784024279eff985b,2025-03-21,2026-07-01,112.62,468.0,164,39.47
P-2025-001675,100815,a2a38920c9919e09c8703d8892080502,2025-05-08,2026-01-24,40.67,262.0,116,18.01
P-2025-001712,100867,ee203b1703de1595784024279eff985b,2025-01-24,2025-10-25,191.92,275.0,220,153.54
P-2025-001808,100254,ee203b1703de1595784024279eff985b,2025-01-10,2025-09-18,313.2,252.0,234,290.83
P-2025-001963,100014,7f89c4cd954b7f708ce420be328cebb4,2025-05-10,2026-06-08,77.14,395.0,114,22.26
P-2025-002243,100194,7f89c4cd954b7f708ce420be328cebb4,2025-01-02,2026-03-03,55.88,426.0,242,31.74
P-2025-002279,100211,3c66679311c1abec9d9192d01ce26f07,2025-02-27,2026-06-18,833.5,477.0,186,325.01
P-2025-002366,100582,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-05-15,2026-05-08,775.67,359.0,109,235.51
P-2025-002538,100061,19bd7beafce7eb141e672aec8fe7d7c3,2025-03-14,2026-01-18,90.58,311.0,171,49.8
P-2025-002540,100988,eb1f8989a62d585d97875883da198e51,2025-05-25,2026-03-21,57.07,301.0,99,18.77
P-2025-002777,100866,dcfcf92bb54103cb27c8801b1960989c,2025-05-27,2026-04-18,488.21,327.0,97,144.82
P-2023-000067,100787,eb1f8989a62d585d97875883da198e51,2023-07-31,2024-10-23,42.23,451.0,451,42.23
P-2023-000098,100067,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-04-08,2024-05-02,459.02,391.0,391,459.02
P-2023-000135,100337,7f89c4cd954b7f708ce420be328cebb4,2023-01-04,2024-09-01,91.88,607.0,607,91.88
P-2023-000212,100432,dcfcf92bb54103cb27c8801b1960989c,2023-06-19,2024-08-14,189.86,423.0,423,189.86
P-2023-000223,100299,dcfcf92bb54103cb27c8801b1960989c,2023-01-19,2023-11-26,316.53,312.0,312,316.53
P-2023-000231,100218,a2a38920c9919e09c8703d8892080502,2023-10-18,2024-12-16,35.89,426.0,426,35.89
P-2023-000246,100640,eb1f8989a62d585d97875883da198e51,2023-02-13,2023-12-24,48.88,315.0,315,48.88
P-2023-000312,100839,a2a38920c9919e09c8703d8892080502,2023-03-18,2024-05-31,58.59,441.0,441,58.59
P-2023-000330,100591,dcfcf92bb54103cb27c8801b1960989c,2023-12-16,2025-04-16,336.12,488.0,488,336.12
P-2023-000360,100891,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-04-01,2024-06-19,672.46,446.0,446,672.46
P-2023-000554,100454,7f89c4cd954b7f708ce420be328cebb4,2023-03-09,2023-12-03,80.79,270.0,270,80.79
P-2023-000624,100227,dcfcf92bb54103cb27c8801b1960989c,2023-12-01,2025-01-06,463.42,403.0,403,463.42
P-2023-000646,100704,dcfcf92bb54103cb27c8801b1960989c,2023-02-24,2024-02-03,369.84,345.0,345,369.84
P-2023-000695,100322,ee203b1703de1595784024279eff985b,2023-10-22,2024-05-18,330.38,210.0,210,330.38
P-2023-000721,100572,ee203b1703de1595784024279eff985b,2023-09-03,2024-11-27,133.71,452.0,452,133.71
P-2023-000762,100324,ee203b1703de1595784024279eff985b,2023-11-13,2024-04-01,208.69,141.0,141,208.69
P-2023-000764,100698,ee203b1703de1595784024279eff985b,2023-01-29,2023-11-09,152.23,285.0,285,152.23
P-2023-000775,100845,3ef69f90a5178021fa2875bdb7700d8e,2023-01-29,2024-03-30,141.79,427.0,427,141.79
P-2023-000785,100985,ee203b1703de1595784024279eff985b,2023-08-03,2024-03-24,319.39,235.0,235,319.39
P-2023-000788,100579,ee203b1703de1595784024279eff985b,2023-10-14,2025-03-10,239.94,514.0,514,239.94
P-2023-000804,100552,7f89c4cd954b7f708ce420be328cebb4,2023-03-07,2023-10-10,75.55,218.0,218,75.55
P-2023-000853,100024,ee203b1703de1595784024279eff985b,2023-09-30,2024-07-02,162.04,277.0,277,162.04
P-2023-000909,100806,19bd7beafce7eb141e672aec8fe7d7c3,2023-12-05,2024-08-04,273.3,244.0,244,273.3
P-2023-000914,100528,a2a38920c9919e09c8703d8892080502,2023-01-13,2024-03-18,50.01,431.0,431,50.01
P-2023-000982,100837,eb1f8989a62d585d97875883da198e51,2023-01-30,2024-04-08,51.68,435.0,435,51.68
P-2023-000998,100726,3ef69f90a5178021fa2875bdb7700d8e,2023-02-27,2024-01-27,132.3,335.0,335,132.3
P-2023-001025,100756,19bd7beafce7eb141e672aec8fe7d7c3,2023-06-25,2024-02-15,80.93,236.0,236,80.93
P-2023-001031,100013,3ef69f90a5178021fa2875bdb7700d8e,2023-04-21,2024-04-21,105.97,367.0,367,105.97
P-2023-001061,100466,ee203b1703de1595784024279eff985b,2023-05-06,2023-12-22,180.27,231.0,231,180.27
P-2023-001105,100477,3c66679311c1abec9d9192d01ce26f07,2023-10-30,2024-10-11,337.04,348.0,348,337.04
P-2023-001116,100389,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-08-01,2024-04-25,980.04,269.0,269,980.04
P-2023-001137,100149,7f89c4cd954b7f708ce420be328cebb4,2023-09-11,2024-04-23,116.86,226.0,226,116.86
P-2023-001197,100623,a2a38920c9919e09c8703d8892080502,2023-02-13,2023-06-28,38.54,136.0,136,38.54
P-2023-001280,100943,ee203b1703de1595784024279eff985b,2023-05-14,2024-05-18,160.23,371.0,371,160.23
P-2023-001292,100808,a2a38920c9919e09c8703d8892080502,2023-07-18,2024-05-13,30.7,301.0,301,30.7
P-2023-001386,100307,ee203b1703de1595784024279eff985b,2023-05-13,2024-06-28,216.98,413.0,413,216.98
P-2023-001394,100028,19bd7beafce7eb141e672aec8fe7d7c3,2023-03-31,2024-05-09,128.82,406.0,406,128.82
P-2023-001401,100393,ee203b1703de1595784024279eff985b,2023-11-29,2024-09-26,223.73,303.0,303,223.73
P-2023-001414,100742,19bd7beafce7eb141e672aec8fe7d7c3,2023-04-07,2024-03-12,94.49,341.0,341,94.49
